Event	ID	Name			Wwise Object Path	Notes
	592624029	UI_Shuffle			\UI\UI_Shuffle	
	660562971	Townsfolk_Male_Talk			\NPC\Townsfolk_Male_Talk	
	728646680	Amb_Field_Farms			\Ambience\Reverb\Amb_Field_Farms	
	816303795	Player_Grab			\Player\Player_Grab	
	859052727	Amb_Beach			\Ambience\Reverb\Amb_Beach	
	1363577934	Player_Jump_LiftOff			\Player\Player_Jump_LiftOff	
	1419286180	NPC_Hare_Talk			\NPC\NPC_Hare_Talk	
	1542330065	Player_Die			\Player\Player_Die	
	1717767246	NPC_Hare_Song_Long			\NPC\NPC_Hare_Song_Long	
	1730208058	Player_Footsteps			\Player\Player_Footsteps	
	1822764980	Critter_Plant_GettingHit			\Creatures (Monsters)\Critter_Plant_GettingHit	
	1879932703	CaveReverb_Disable			\Ambience\Reverb\CaveReverb_Disable	
	1940944140	CaveReverb_Enable			\Ambience\Reverb\CaveReverb_Enable	
	1969612259	Critter_Plant_Attack			\Creatures (Monsters)\Critter_Plant_Attack	
	1997053204	Amb_Field_Hill			\Ambience\Reverb\Amb_Field_Hill	
	2060690880	Player_Water_Splash			\Player\Player_Water_Splash	
	2249769530	UI_Click			\UI\UI_Click	
	2565812264	Amb_torch			\Ambience\Reverb\Amb_torch	
	2644861617	Amb_Trees			\Ambience\Reverb\Amb_Trees	
	2675089675	Player_Talk			\Player\Player_Talk	
	2824512041	Player_Attack			\Player\Player_Attack	
	2891098061	Critter_Plant_Idle			\Creatures (Monsters)\Critter_Plant_Idle	
	2910694179	Critter_Plant_Death			\Creatures (Monsters)\Critter_Plant_Death	
	2971175702	Townsfolk_Female_Talk			\NPC\Townsfolk_Female_Talk	
	3170972326	Scene_Change			\Control\Scene_Change	
	3207324726	Amb_Fire			\Ambience\Reverb\Amb_Fire	
	3210856931	UI_Use			\UI\UI_Use	
	3484321931	Player_Heartbeat			\Player\Player_Heartbeat	
	3635877684	Amb_Ocean			\Ambience\Reverb\Amb_Ocean	
	3755979049	Amb_Cave			\Ambience\Reverb\Amb_Cave	
	3856109001	Player_Jump_Landing			\Player\Player_Jump_Landing	
	3945457670	Player_GetHit			\Player\Player_GetHit	

Switch Group	ID	Name			Wwise Object Path	Notes
	2385628198	Footsteps			\Default Work Unit\Footsteps	

Switch	ID	Name	Switch Group			Notes
	547160665	Surface_Grass	Footsteps			
	1810448540	Surface_Stone	Footsteps			
	1897702823	Surface_Sand	Footsteps			
	3248230778	Surface_Water	Footsteps			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	3245190	UI_Click	F:\EUAS\Sound Processing\Katherine_Cadaon_EEKAudio\UOP1_Project\UOP1_Project_WwiseProject\.cache\Mac\SFX\Sounds\UI_Click_818F3B66.wem		\Actor-Mixer Hierarchy\UI\UI\UI_Click		1536
	41846297	Player_GetHit	F:\EUAS\Sound Processing\Katherine_Cadaon_EEKAudio\UOP1_Project\UOP1_Project_WwiseProject\.cache\Mac\SFX\Sounds\Player_GetHit_818F3B66.wem		\Actor-Mixer Hierarchy\Player\Player\Player\Player_GetHit		30188
	42699678	Player_Footsteps_Rocks_03	F:\EUAS\Sound Processing\Katherine_Cadaon_EEKAudio\UOP1_Project\UOP1_Project_WwiseProject\.cache\Mac\SFX\Sounds\Player_Footsteps_Rocks_03_818F3B66.wem		\Actor-Mixer Hierarchy\Player\Player\Footsteps\Stone footsteps\Player_Footsteps_Rocks_03		28400
	45115457	NPC_Hare_Talk	F:\EUAS\Sound Processing\Katherine_Cadaon_EEKAudio\UOP1_Project\UOP1_Project_WwiseProject\.cache\Mac\SFX\Sounds\NPC_Hare_Talk_818F3B66.wem		\Actor-Mixer Hierarchy\NPC\Hare\Hare Talk\NPC_Hare_Talk		105978
	124235556	Player_Jump_LiftOff	F:\EUAS\Sound Processing\Katherine_Cadaon_EEKAudio\UOP1_Project\UOP1_Project_WwiseProject\.cache\Mac\SFX\Sounds\Player_Jump_LiftOff_818F3B66.wem		\Actor-Mixer Hierarchy\Player\Player\Player\Player_Jump_LiftOff		36912
	128893236	Hills	F:\EUAS\Sound Processing\Katherine_Cadaon_EEKAudio\UOP1_Project\UOP1_Project_WwiseProject\.cache\Mac\SFX\Sounds\Amb_Field_Hill_14E21738.wem		\Actor-Mixer Hierarchy\Ambience\Main\Hills		570460
	166016431	Player_Jump_Landing	F:\EUAS\Sound Processing\Katherine_Cadaon_EEKAudio\UOP1_Project\UOP1_Project_WwiseProject\.cache\Mac\SFX\Sounds\Player_Jump_Landing_818F3B66.wem		\Actor-Mixer Hierarchy\Player\Player\Player\Player_Jump_Landing		21832
	203441492	Player_Footsteps_Water_02	F:\EUAS\Sound Processing\Katherine_Cadaon_EEKAudio\UOP1_Project\UOP1_Project_WwiseProject\.cache\Mac\SFX\Sounds\Player_Footsteps_Water_02_818F3B66.wem		\Actor-Mixer Hierarchy\Player\Player\Footsteps\Water footsteps\Player_Footsteps_Water_02		65534
	211909884	Player_Grab	F:\EUAS\Sound Processing\Katherine_Cadaon_EEKAudio\UOP1_Project\UOP1_Project_WwiseProject\.cache\Mac\SFX\Sounds\Player_Grab_818F3B66.wem		\Actor-Mixer Hierarchy\Player\Player\Player\Player_Grab		27376
	214975682	Player_Footsteps_Beach_03	F:\EUAS\Sound Processing\Katherine_Cadaon_EEKAudio\UOP1_Project\UOP1_Project_WwiseProject\.cache\Mac\SFX\Sounds\Player_Footsteps_Beach_03_818F3B66.wem		\Actor-Mixer Hierarchy\Player\Player\Footsteps\Sand footsteps\Player_Footsteps_Beach_03		64922
